	_id	challenge_id	community_id	participant_id	type	metrics.stderr	metrics.value	metric	window_size	site_set
0	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Sum_FP_TPM:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	615815.63	Sum_FP_TPM	100	
1	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Percent_FP_TPM:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	92.50962208764874	Percent_FP_TPM	100	
2	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Sensitivity:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.1367530083622272	Sensitivity	100	
3	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Precision:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.12381128243006186	Precision	100	
4	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:F1_score:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.1299607501090275	F1_score	100	
5	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Jaccard_index:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.06949626865671642	Jaccard_index	100	
6	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:all_GT:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.28664528093228564	Pearson_r	100	all_GT
7	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:all_GT:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.17824161205239317	Spearman_r	100	all_GT
8	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r_relative:all_GT:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.05160565241917421	Pearson_r_relative	100	all_GT
9	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r_relative:all_GT:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.003500521764616231	Spearman_r_relative	100	all_GT
10	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:union:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	-0.0002551642356757244	Pearson_r	100	union
11	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:union:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	-0.6754881059304623	Spearman_r	100	union
12	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r_relative:union:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	-0.4186472599826173	Pearson_r_relative	100	union
13	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r_relative:union:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	-0.706027450931288	Spearman_r_relative	100	union
14	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:intersection:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.5451993226914507	Pearson_r	100	intersection
15	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:intersection:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.33635509314081635	Spearman_r	100	intersection
16	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r_relative:intersection:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.7930595813538719	Pearson_r_relative	100	intersection
17	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r_relative:intersection:100nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.9899711503723809	Spearman_r_relative	100	intersection
18	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Sum_FP_TPM:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	637616.06	Sum_FP_TPM	50	
19	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Percent_FP_TPM:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	94.61149190848771	Percent_FP_TPM	50	
20	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Sensitivity:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.11302759740259741	Sensitivity	50	
21	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Precision:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.09884649511978705	Precision	50	
22	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:F1_score:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.10546246331534602	F1_score	50	
23	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Jaccard_index:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.05566660003997601	Jaccard_index	50	
24	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:all_GT:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.29714153834053236	Pearson_r	50	all_GT
25	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:all_GT:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.16209341518989487	Spearman_r	50	all_GT
26	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:union:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	-0.002723468389116085	Pearson_r	50	union
27	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:union:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	-0.7121016357796905	Spearman_r	50	union
28	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:intersection:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.6364345400265301	Pearson_r	50	intersection
29	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:intersection:50nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.3355536575512152	Spearman_r	50	intersection
30	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Sum_FP_TPM:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	647363.1599999999	Sum_FP_TPM	25	
31	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Percent_FP_TPM:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	95.44338777788633	Percent_FP_TPM	25	
32	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Sensitivity:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.09531486146095718	Sensitivity	25	
33	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Precision:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.0819331370171488	Precision	25	
34	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:F1_score:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.08811885799450422	F1_score	25	
35	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Jaccard_index:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.046090133982947624	Jaccard_index	25	
36	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:all_GT:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.29819951246858073	Pearson_r	25	all_GT
37	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:all_GT:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.14830891019047668	Spearman_r	25	all_GT
38	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:union:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	-0.00307014861603712	Pearson_r	25	union
39	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:union:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	-0.7353073165856043	Spearman_r	25	union
40	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:intersection:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.6389532055222018	Pearson_r	25	intersection
41	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:intersection:25nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.33387147182427346	Spearman_r	25	intersection
42	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Sum_FP_TPM:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	656470.01	Sum_FP_TPM	10	
43	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Percent_FP_TPM:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	96.27749276969195	Percent_FP_TPM	10	
44	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Sensitivity:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.07675372760932653	Sensitivity	10	
45	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Precision:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.0653099455040872	Precision	10	
46	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:F1_score:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.07057091594976307	F1_score	10	
47	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Jaccard_index:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.03657606103958035	Jaccard_index	10	
48	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:all_GT:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.2984671892122134	Pearson_r	10	all_GT
49	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:all_GT:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.13610466114616293	Spearman_r	10	all_GT
50	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:union:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	-0.004555584551401563	Pearson_r	10	union
51	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:union:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	-0.7581527926847562	Spearman_r	10	union
52	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Pearson_r:intersection:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.6613600014001111	Pearson_r	10	intersection
53	APAeval:MmusCortex_adult_R1.all.mm10:APAtrap:Spearman_r:intersection:10nt	MmusCortex_adult_R1.all.mm10	APAeval	APAtrap	assessment	0	0.3122459643856624	Spearman_r	10	intersection
54	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Sum_FP_TPM:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	616334.03	Sum_FP_TPM	100	
55	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Percent_FP_TPM:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	92.58473545117792	Percent_FP_TPM	100	
56	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Sensitivity:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.14810627473148671	Sensitivity	100	
57	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Precision:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.12091563596086395	Precision	100	
58	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:F1_score:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.13313684638447076	F1_score	100	
59	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Jaccard_index:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.07131580379988023	Jaccard_index	100	
60	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Pearson_r:all_GT:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.331700476617424	Pearson_r	100	all_GT
61	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Spearman_r:all_GT:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.17326772042313082	Spearman_r	100	all_GT
62	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Pearson_r_relative:all_GT:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.04955254433327489	Pearson_r_relative	100	all_GT
63	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Spearman_r_relative:all_GT:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	-0.0016752215313861182	Spearman_r_relative	100	all_GT
64	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Pearson_r:union:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	4.377984576036772e-05	Pearson_r	100	union
65	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Spearman_r:union:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	-0.6688697085037727	Spearman_r	100	union
66	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Pearson_r_relative:union:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	-0.41875026607917026	Pearson_r_relative	100	union
67	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Spearman_r_relative:union:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	-0.704046031661807	Spearman_r_relative	100	union
68	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Pearson_r:intersection:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.5464046871135098	Pearson_r	100	intersection
69	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Spearman_r:intersection:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.3329327995281078	Spearman_r	100	intersection
70	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Pearson_r_relative:intersection:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.7929417809685331	Pearson_r_relative	100	intersection
71	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Spearman_r_relative:intersection:100nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.989885802581996	Spearman_r_relative	100	intersection
72	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Sum_FP_TPM:50nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	638037.9800000001	Sum_FP_TPM	50	
73	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Percent_FP_TPM:50nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	94.6597512388933	Percent_FP_TPM	50	
74	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Sensitivity:50nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.12251320669888727	Sensitivity	50	
75	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Precision:50nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.0966912090836512	Precision	50	
76	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:F1_score:50nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.10808130887456618	F1_score	50	
77	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Jaccard_index:50nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.05712788259958071	Jaccard_index	50	
78	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Pearson_r:all_GT:50nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.342191300186138	Pearson_r	50	all_GT
79	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Spearman_r:all_GT:50nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	0.15774942367012862	Spearman_r	50	all_GT
80	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Pearson_r:union:50nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	-0.0027724838373931605	Pearson_r	50	union
81	APAeval:MmusCortex_adult_R1.TE.mm10:APAtrap:Spearman_r:union:50nt	MmusCortex_adult_R1.TE.mm10	APAeval	APAtrap	assessment	0	-0.7051742228475228	Spearman_r	50	union
