group_id	sample_name	file_path
GTEXsim_muscle	GTEXsim_muscle_R4	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_muscle_R4.all.hg38_v26.bed
GTEXsim_muscle	GTEXsim_muscle_R7	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_muscle_R7.all.hg38_v26.bed
GTEXsim_muscle	GTEXsim_muscle_R8	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_muscle_R8.all.hg38_v26.bed
GTEXsim_muscle	GTEXsim_muscle_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_muscle_R1.all.hg38_v26.bed
GTEXsim_muscle	GTEXsim_muscle_R3	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_muscle_R3.all.hg38_v26.bed
GTEXsim_muscle	GTEXsim_muscle_R6	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_muscle_R6.all.hg38_v26.bed
GTEXsim_muscle	GTEXsim_muscle_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_muscle_R2.all.hg38_v26.bed
GTEXsim_muscle	GTEXsim_muscle_R10	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_muscle_R10.all.hg38_v26.bed
GTEXsim_muscle	GTEXsim_muscle_R9	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_muscle_R9.all.hg38_v26.bed
GTEXsim_muscle	GTEXsim_muscle_R5	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_muscle_R5.all.hg38_v26.bed
Mayr_NB	Mayr_NB_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_NB_R2.all.hg38.bed
Mayr_NB	Mayr_NB_R3	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_NB_R3.all.hg38.bed
Mayr_NB	Mayr_NB_group	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_NB_group.all.hg38.bed
Mayr_NB	Mayr_NB_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_NB_R1.all.hg38.bed
Mayr_NB	Mayr_NB_R4	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_NB_R4.all.hg38.bed
GTEXsim_cerebellum	GTEXsim_cerebellum_R8	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_cerebellum_R8.all.hg38_v26.bed
GTEXsim_cerebellum	GTEXsim_cerebellum_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_cerebellum_R1.all.hg38_v26.bed
GTEXsim_cerebellum	GTEXsim_cerebellum_R9	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_cerebellum_R9.all.hg38_v26.bed
GTEXsim_cerebellum	GTEXsim_cerebellum_R3	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_cerebellum_R3.all.hg38_v26.bed
GTEXsim_cerebellum	GTEXsim_cerebellum_R7	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_cerebellum_R7.all.hg38_v26.bed
GTEXsim_cerebellum	GTEXsim_cerebellum_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_cerebellum_R2.all.hg38_v26.bed
GTEXsim_cerebellum	GTEXsim_cerebellum_R10	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_cerebellum_R10.all.hg38_v26.bed
GTEXsim_cerebellum	GTEXsim_cerebellum_R6	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_cerebellum_R6.all.hg38_v26.bed
GTEXsim_cerebellum	GTEXsim_cerebellum_R5	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_cerebellum_R5.all.hg38_v26.bed
GTEXsim_cerebellum	GTEXsim_cerebellum_R4	data/apaeval_ground_truths/chr_all_ground_truth_beds/GTEXsim_cerebellum_R4.all.hg38_v26.bed
Mayr_GC	Mayr_GC_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_GC_R1.all.hg38.bed
Mayr_GC	Mayr_GC_group	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_GC_group.all.hg38.bed
Mayr_GC	Mayr_GC_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_GC_R2.all.hg38.bed
P19_siSrsf7	P19_siSrsf7_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/P19_siSrsf7_R1.all.mm10.bed
P19_siSrsf7	P19_siSrsf7_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/P19_siSrsf7_R2.all.mm10.bed
P19_siSrsf3	P19_siSrsf3_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/P19_siSrsf3_R1.all.mm10.bed
P19_siSrsf3	P19_siSrsf3_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/P19_siSrsf3_R2.all.mm10.bed
Mayr_CD5B	Mayr_CD5B_R5	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_CD5B_R5.all.hg38.bed
Mayr_CD5B	Mayr_CD5B_R6	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_CD5B_R6.all.hg38.bed
Mayr_CD5B	Mayr_CD5B_group	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_CD5B_group.all.hg38.bed
Mayr_CD5B	Mayr_CD5B_R3	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_CD5B_R3.all.hg38.bed
Mayr_CD5B	Mayr_CD5B_R4	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_CD5B_R4.all.hg38.bed
MmusCortex_adult	MmusCortex_adult_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/MmusCortex_adult_R1.all.mm10.bed
MmusCortex_adult	MmusCortex_adult_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/MmusCortex_adult_R2.all.mm10.bed
MmusCortex_embryonic	MmusCortex_embryonic_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/MmusCortex_embryonic_R2.all.mm10.bed
MmusCortex_embryonic	MmusCortex_embryonic_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/MmusCortex_embryonic_R1.all.mm10.bed
P19_siControl	P19_siControl_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/P19_siControl_R1.all.mm10.bed
P19_siControl	P19_siControl_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/P19_siControl_R2.all.mm10.bed
Mayr_M	Mayr_M_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_M_R2.all.hg38.bed
Mayr_M	Mayr_M_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_M_R1.all.hg38.bed
HEK293_siControl	HEK293_siControl_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/HEK293_siControl_R2.all.hg38.bed
HEK293_siControl	HEK293_siControl_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/HEK293_siControl_R1.all.hg38.bed
Mayr_PC	Mayr_PC_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_PC_R1.all.hg38.bed
HEK293_siHNRNPC	HEK293_siHNRNPC_R1	data/apaeval_ground_truths/chr_all_ground_truth_beds/HEK293_siHNRNPC_R1.all.hg38.bed
HEK293_siHNRNPC	HEK293_siHNRNPC_R2	data/apaeval_ground_truths/chr_all_ground_truth_beds/HEK293_siHNRNPC_R2.all.hg38.bed
Mayr_allBcell	Mayr_allBcell_group	data/apaeval_ground_truths/chr_all_ground_truth_beds/Mayr_allBcell_group.all.hg38.bed
